"No","Id","Subid","Word","Root","Lemma","Verb","Transcript","Affixes","Pos","Gloss","Tvariety","Tagset","Status"
"24","02","00012","ስንብት","ስ⁞ን⁞ብ⁞ት","","ይሰነብታሉ","ysenebtalu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"25","03","00001","ምስክር","ም⁞ስ⁞ክ⁞ር","","እመሰክራለሁ","Imesekralehu","[እ+ለሁ]","VINA•01T1SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"26","03","00002","ምስክር","ም⁞ስ⁞ክ⁞ር","","እመሰክራለሁ","Imesekralehu","[እ+ለሁ]","VINA•01T1SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"27","03","00003","ምስክር","ም⁞ስ⁞ክ⁞ር","","እንመሰክራለን","Inmesekralen","[እን+ለን]","VINA•01T1PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"28","03","00004","ምስክር","ም⁞ስ⁞ክ⁞ር","","እንመሰክራለን","Inmesekralen","[እን+ለን]","VINA•01T1PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"29","03","00005","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለች","tmesekralec","[ት+ለች]","VINA•01T2SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"30","03","00006","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለህ","tmesekraleh","[ት+ለህ]","VINA•01T2SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"31","03","00007","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራችሁ","tmesekrachu","[ት+ችሁ]","VINA•01T2PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"32","03","00008","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራችሁ","tmesekrachu","[ት+ችሁ]","VINA•01T2PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"33","03","00009","ምስክር","ም⁞ስ⁞ክ⁞ር","","ትመሰክራለች","tmesekralec","[ት+ለች]","VINA•01T3SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"34","03","00010","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"35","03","00011","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"36","03","00012","ምስክር","ም⁞ስ⁞ክ⁞ር","","ይመሰክራሉ","ymesekralu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""

